# 陈旧/退市标的黑名单 (最后交易日距 2026-07-18 超过365天, 数据落盘合法但股票已不交易)
# 由扫描 data/klines/kl_*.json 生成; backtest_hotspot._stale_symbols() 加载, build_pool 显式跳过并打日志
# 格式: 6位代码  # last=最后交易日 (stale N days)
000005  # last=2024-03-05 (stale 865 days)
000022  # last=2018-12-20 (stale 2767 days)
000040  # last=2025-03-31 (stale 474 days)
000413  # last=2024-08-14 (stale 703 days)
000416  # last=2024-04-24 (stale 815 days)
000511  # last=2018-07-17 (stale 2923 days)
000522  # last=2013-03-13 (stale 4875 days)
000587  # last=2023-02-02 (stale 1262 days)
000687  # last=2022-06-16 (stale 1493 days)
000748  # last=2016-10-31 (stale 3547 days)
000806  # last=2023-07-05 (stale 1109 days)
000836  # last=2024-06-17 (stale 761 days)
000939  # last=2020-12-16 (stale 2040 days)
000979  # last=2018-12-27 (stale 2760 days)
002002  # last=2024-01-18 (stale 912 days)
002013  # last=2023-02-07 (stale 1257 days)
002018  # last=2019-10-31 (stale 2452 days)
002070  # last=2019-07-08 (stale 2567 days)
002089  # last=2024-04-17 (stale 822 days)
002118  # last=2023-06-15 (stale 1129 days)
002147  # last=2022-06-22 (stale 1487 days)
002280  # last=2024-06-26 (stale 752 days)
002288  # last=2024-06-26 (stale 752 days)
002341  # last=2024-07-02 (stale 746 days)
002359  # last=2021-07-22 (stale 1822 days)
002411  # last=2023-07-11 (stale 1103 days)
002417  # last=2023-07-07 (stale 1107 days)
002435  # last=2024-07-01 (stale 747 days)
002447  # last=2022-06-24 (stale 1485 days)
002450  # last=2021-05-28 (stale 1877 days)
002477  # last=2019-10-15 (stale 2468 days)
002499  # last=2023-04-17 (stale 1188 days)
002502  # last=2024-07-16 (stale 732 days)
002505  # last=2024-07-02 (stale 746 days)
002604  # last=2020-07-14 (stale 2195 days)
002610  # last=2024-06-18 (stale 760 days)
002618  # last=2022-06-21 (stale 1488 days)
002619  # last=2022-03-31 (stale 1570 days)
002665  # last=2024-06-27 (stale 751 days)
002680  # last=2019-11-26 (stale 2426 days)
002684  # last=2022-06-24 (stale 1485 days)
002711  # last=2021-07-14 (stale 1830 days)
002750  # last=2025-06-26 (stale 387 days)
300023  # last=2022-06-28 (stale 1481 days)
300028  # last=2021-06-27 (stale 1847 days)
300038  # last=2022-06-29 (stale 1480 days)
300064  # last=2022-06-24 (stale 1485 days)
300090  # last=2021-06-27 (stale 1847 days)
300108  # last=2025-04-23 (stale 451 days)
300114  # last=2025-02-14 (stale 519 days)
300117  # last=2025-03-31 (stale 474 days)
300156  # last=2021-06-27 (stale 1847 days)
300178  # last=2022-06-21 (stale 1488 days)
300216  # last=2021-06-27 (stale 1847 days)
300262  # last=2024-06-18 (stale 760 days)
300273  # last=2023-07-05 (stale 1109 days)
300282  # last=2024-07-17 (stale 731 days)
300297  # last=2023-07-28 (stale 1086 days)
300312  # last=2022-07-01 (stale 1478 days)
300325  # last=2022-06-27 (stale 1482 days)
300336  # last=2023-07-04 (stale 1110 days)
600005  # last=2017-01-23 (stale 3463 days)
600068  # last=2021-09-01 (stale 1781 days)
600070  # last=2025-04-10 (stale 464 days)
600074  # last=2020-05-26 (stale 2244 days)
600077  # last=2023-06-13 (stale 1131 days)
600083  # last=2025-01-16 (stale 548 days)
600086  # last=2021-03-10 (stale 1956 days)
600112  # last=2024-07-19 (stale 729 days)
600146  # last=2022-06-23 (stale 1486 days)
600175  # last=2020-08-07 (stale 2171 days)
600209  # last=2022-06-15 (stale 1494 days)
600220  # last=2024-06-13 (stale 765 days)
600240  # last=2020-01-23 (stale 2368 days)
600242  # last=2023-06-20 (stale 1124 days)
600247  # last=2021-02-24 (stale 1970 days)
600260  # last=2023-02-02 (stale 1262 days)
600277  # last=2024-06-21 (stale 757 days)
600290  # last=2023-12-25 (stale 936 days)
600291  # last=2022-06-07 (stale 1502 days)
600297  # last=2024-07-17 (stale 731 days)
600311  # last=2023-03-02 (stale 1234 days)
600317  # last=2021-01-14 (stale 2011 days)
600387  # last=2025-07-04 (stale 379 days)
600462  # last=2025-07-14 (stale 369 days)
600466  # last=2023-05-09 (stale 1166 days)
600555  # last=2022-07-06 (stale 1473 days)
600565  # last=2024-06-21 (stale 757 days)
600614  # last=2021-07-14 (stale 1830 days)
600631  # last=2011-08-04 (stale 5462 days)
600680  # last=2018-04-27 (stale 3004 days)
600687  # last=2021-02-24 (stale 1970 days)
600695  # last=2022-06-07 (stale 1502 days)
600701  # last=2021-04-26 (stale 1909 days)
600723  # last=2021-09-15 (stale 1767 days)
600747  # last=2019-12-06 (stale 2416 days)
600766  # last=2024-06-26 (stale 752 days)
600767  # last=2023-06-20 (stale 1124 days)
600804  # last=2025-06-30 (stale 383 days)
600806  # last=2018-07-11 (stale 2929 days)
600811  # last=2025-04-14 (stale 460 days)
600832  # last=2015-04-29 (stale 4098 days)
600836  # last=2024-06-17 (stale 761 days)
600856  # last=2022-06-15 (stale 1494 days)
600891  # last=2021-04-30 (stale 1905 days)
600898  # last=2025-01-10 (stale 554 days)
601028  # last=2025-03-26 (stale 479 days)
601313  # last=2018-02-14 (stale 3076 days)
603133  # last=2024-06-26 (stale 752 days)
603603  # last=2024-04-18 (stale 821 days)
830799  # last=2025-04-30 (stale 444 days)
